"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"53","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",12
"54","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",12
"55","attain","FM","VV","attain",NA,"attain",0,NA,"attain",NA,NA,NA,"attain",12
"56","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"57","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",12
"58","pronunciation","FM","NN","pronunciation",NA,"pronunciation",0,NA,"pronunciation",NA,NA,NA,"pronunciation",12
"59",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"60","on","FM","IN","on",NA,"on",0,NA,"on",NA,NA,NA,"on",12
"61","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",12
"62",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"63","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"64","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",12
"65","great","FM","JJ","great",NA,"great",0,NA,"great",NA,NA,NA,"great",12
"66","meafure","FM","NN","meafure","meafure","meafure",1,"meafure",NA,NA,NA,NA,NA,12
"67",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"68","depends","FM","VVZ","depends",NA,"depends",1,"depends",NA,NA,NA,NA,NA,12
"69","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",12
"70","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA,NA,"its",12
"71","harmony","FM","NN","harmony",NA,"harmony",0,NA,"harmony",NA,NA,NA,"harmony",12
"72","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",12
"73","force","FM","NN","force","force","force",0,NA,"force",NA,NA,NA,"force",12
"74",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",12
"75","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA,NA,"In",12
"76","learning","FM","VVG","learning",NA,"learning",0,NA,"learning",NA,NA,NA,"learning",12
"77","Engliſo","FM","NN","Engliso",NA,"Engliso",1,"Engliso",NA,NA,NA,NA,NA,12
"78","therefore","FM","RB","therefore","therefore","therefore",0,NA,"therefore",NA,NA,NA,"therefore",12
"79",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"80","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",12
"81","Foreigners","N.Reg.Acc.Pl.Neut","NNS","Foreigners",NA,"Foreigners",0,NA,"Foreigners",NA,NA,NA,"Foreigners",12
"82","alone","VFIN.Full.3.Sg.Pres.Subj","RB","alone",NA,"alone",0,NA,"alone",NA,NA,NA,"alone",12
"83",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"84","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",12
"85","even","ADJA.Pos.Nom.Pl.Fem","RB","even",NA,"even",0,NA,"even",NA,NA,NA,"even",12
"86","Engliſbmen","N.Reg.Nom.Pl.Fem","NN","Englisbmen",NA,"Englisbmen",1,"Englisbmen",NA,NA,NA,NA,NA,12
"87","themſelves","N.Reg.Acc.Pl.Masc","NNS","themselves",NA,"themselves",0,NA,"themselves",NA,NA,NA,"themselves",12
"88",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"89","fhould","FM","NN","fhould","fhould","fhould",1,"fhould",NA,NA,NA,NA,NA,12
"90","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",12
"91","carefully","FM","RB","carefully","carefully","carefully",0,NA,"carefully",NA,NA,NA,"carefully",12
"92","inſtructed","FM","JJ","instructed",NA,"instructed",0,NA,"instructed",NA,NA,NA,"instructed",12
"93","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"94","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",12
"95","neceflary","FM","JJ","neceflary","neceflary","neceflary",1,"neceflary",NA,NA,NA,NA,NA,12
"96","part","FM","NN","part",NA,"part",0,NA,"part",NA,NA,NA,"part",12
"97","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"98","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"99","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA,NA,"language",12
"100",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"101","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",12
"102","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",12
"103","means","FM","VVZ","means",NA,"means",0,NA,"means",NA,NA,NA,"means",12
"104","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA,NA,"they",12
"105","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA,NA,"will",12
"106","avoid","FM","VV","avoid",NA,"avoid",0,NA,"avoid",NA,NA,NA,"avoid",12
"107","thofe","FM","JJ","thofe","thofe","thofe",1,"thofe",NA,NA,NA,NA,NA,12
"108","provincial","FM","JJ","provincial",NA,"provincial",0,NA,"provincial",NA,NA,NA,"provincial",12
"109","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",12
"110","local","FM","JJ","local",NA,"local",0,NA,"local",NA,NA,NA,"local",12
"111","dialects","FM","NNS","dialects",NA,"dialects",1,"dialects",NA,NA,"dialects",NA,"dialects",12
"112",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"113","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",12
"114","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",12
"115","too","ADV","RB","too",NA,"too",0,NA,"too",NA,NA,NA,"too",12
"116","often","FM","RB","often","often","often",0,NA,"often",NA,NA,NA,"often",12
"117","found","FM","VVN","found","found","found",0,NA,"found",NA,NA,NA,"found",12
"118","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"119","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"120","mouths","FM","NNS","mouths",NA,"mouths",1,"mouths",NA,NA,"mouths",NA,"mouths",12
"121","even","FM","RB","even",NA,"even",0,NA,"even",NA,NA,NA,"even",12
"122","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"123","ſome","FM","NN","some",NA,"some",0,NA,"some",NA,NA,NA,"some",12
"124","who","FM","WP","who",NA,"who",0,NA,"who",NA,NA,NA,"who",12
"125","would","FM","MD","would",NA,"would",0,NA,"would",NA,NA,NA,"would",12
"126","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",12
"127","thought","FM","VVN","thought",NA,"thought",0,NA,"thought",NA,NA,NA,"thought",12
"128","polite","FM","JJ","polite",NA,"polite",0,NA,"polite",NA,NA,NA,"polite",12
"129",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"130","Of","N.Name.*.*.*","IN","Of","Of","Of",0,NA,"Of",NA,NA,NA,"Of",12
"131","all","PRO.Indef.Attr.-.*.*.*","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",12
"132","other","N.Name.*.*.*","JJ","other",NA,"other",0,NA,"other",NA,NA,NA,"other",12
"133","languages","ADJA.Pos.Acc.Sg.Neut","NNS","languages",NA,"languages",1,"languages",NA,NA,"languages",NA,"languages",12
"134",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"135","perhaps","FM","RB","perhaps",NA,"perhaps",0,NA,"perhaps",NA,NA,NA,"perhaps",12
"136",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"137","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",12
"138","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",12
"139","requires","ADJA.Pos.Acc.Sg.Neut","VVZ","requires",NA,"requires",1,"requires",NA,NA,NA,NA,NA,12
"140","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"141","greateſt","FM","JJ","greatest",NA,"greatest",0,NA,"greatest",NA,NA,NA,"greatest",12
"142","care","FM","NN","care",NA,"care",0,NA,"care",NA,NA,NA,"care",12
"143","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"144","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",12
"145","reſpect","FM","NN","respect",NA,"respect",0,NA,"respect",NA,NA,NA,"respect",12
"146",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
