"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"168","added","FM","VVN","added",NA,"added",0,NA,"added",NA,NA
"169",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"170","Siurtan","N.Name.Nom.Sg.Masc","NP","Siurtan",NA,"Siurtan",1,"Siurtan",NA,NA,NA
"171","Couranisoxs","N.Name.Gen.Sg.Masc","NP","Couranisoxs",NA,"Couranisoxs",1,"Couranisoxs",NA,NA,NA
"172","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA
"173","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA
"174","Old","N.Name.*.*.*","JJ","Old",NA,"Old",0,NA,"Old",NA,NA
"175","Engliſt","N.Name.*.*.*","NN","Englist",NA,"Englist",1,"Englist",NA,NA,NA
"176",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"177","Scotch","N.Reg.Nom.Sg.Masc","JJ","Scotch",NA,"Scotch",0,NA,"Scotch",NA,NA
"178",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"179","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA
"180","Welſh","N.Name.*.*.*","NP","Welsh",NA,"Welsh",0,NA,"Welsh",NA,NA
"181","Tongues","N.Name.Nom.Sg.Masc","NNS","Tongues",NA,"Tongues",0,NA,"Tongues",NA,NA
"182",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"183","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA
"184","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA
"185","Modern","N.Name.*.*.*","NP","Modern",NA,"Modern",0,NA,"Modern",NA,NA
"186","ENcLisn","N.Name.*.*.*","NP","ENcLisn",NA,"ENcLisn",1,"ENcLisn",NA,NA,NA
"187",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"188","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA
"189","alſo","N.Name.*.*.*","NN","also",NA,"also",0,NA,"also",NA,NA
"190",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"191","ExANPLEs","N.Name.*.*.*","NNS","ExANPLEs",NA,"ExANPLEs",1,"ExANPLEs",NA,NA,"ExANPLEs"
"192","for","N.Name.*.*.*","IN","for","for","for",0,NA,"for",NA,NA
"193","thoſe","N.Name.*.*.*","NNS","those",NA,"those",0,NA,"those",NA,NA
"194","who","N.Name.*.*.*","WP","who",NA,"who",0,NA,"who",NA,NA
"195","underſtand","N.Name.*.*.*","VVP","understand",NA,"understand",0,NA,"understand",NA,NA
"196","Latin","N.Name.Dat.Sg.*","NP","Latin",NA,"Latin",0,NA,"Latin",NA,NA
"197",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"198","Italian","N.Name.*.*.*","NP","Italian",NA,"Italian",0,NA,"Italian",NA,NA
"199",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"200","French","N.Name.Nom.Sg.Masc","NP","French",NA,"French",0,NA,"French",NA,NA
"201",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"202","Spaniſb","N.Name.*.*.*","NP","Spanisb",NA,"Spanisb",1,"Spanisb",NA,NA,NA
"203",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"204","Portugueſe","N.Name.Acc.Sg.Fem","NP","Portuguese",NA,"Portuguese",0,NA,"Portuguese",NA,NA
"205",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"206","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA
"207","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA
"208",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"209","ſhewing","N.Reg.Nom.Sg.Fem","VVG","shewing",NA,"shewing",1,"shewing",NA,NA,NA
"210","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"211","Afnity","FM","NN","Afnity","Afnity","Afnity",1,"Afnity",NA,NA,NA
"212","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"213","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"214","Engliſp","FM","NN","Englisp",NA,"Englisp",1,"Englisp",NA,NA,NA
